ad_view,vid_id
2.3528487432476064,VID_1054
3.853665591181065,VID_18629
1.3275878598809343,VID_13967
4.216865936398317,VID_19442
2.670483638868232,VID_770
2.35788920753701,VID_10315
1.510700953885473,VID_7417
1.9983242774853607,VID_17788
5.791967938328107,VID_14591
5.139184934153593,VID_1228
2.362928214172235,VID_10153
1.2657160575324151,VID_5667
2.5693195874554484,VID_22775
1.4779979706872588,VID_8353
2.5863704887956094,VID_486
1.979804368190564,VID_17460
1.3788579097835074,VID_5867
2.884104685160964,VID_15951
2.1444852458498045,VID_14890
2.15337767706041,VID_7219
1.8661492668096322,VID_20045
1.8761177780868679,VID_11874
2.6479532177853047,VID_1208
2.0541590379179464,VID_4529
1.6188413071287422,VID_6793
1.5838331086852655,VID_18254
1.3016636835607553,VID_11155
4.912101411755682,VID_12257
2.649070732409995,VID_4207
2.4426196444338673,VID_23276
2.1854783262499953,VID_18261
2.014922200484526,VID_11536
10.126994926531328,VID_6429
1.233779639076382,VID_9277
1.6745228056543002,VID_517
2.127648401426267,VID_11291
3.6979936687769146,VID_11265
1.609434043588553,VID_632
2.5043691123611063,VID_13587
4.04568349074249,VID_16439
10.011102496312734,VID_14888
11.64622340643595,VID_3207
1.4350081252859699,VID_9352
11.988299684873898,VID_3286
1.5881129856744893,VID_19592
1.4872469742654566,VID_15582
2.0577098323337846,VID_15269
2.339023988273538,VID_5703
6.75127391871493,VID_22315
1.746779401933735,VID_14939
2.3533138272094383,VID_18277
1.7875581529463482,VID_1684
1.2555090041546344,VID_14842
1.429253021804366,VID_635
2.000098029553202,VID_19621
2.112524435527785,VID_2006
4.50325233849435,VID_3232
1.3464149288726386,VID_17944
1.3602928224020363,VID_19507
1.9579480279742714,VID_6745
1.9024084203342784,VID_8446
3.129142750265778,VID_17593
1.5814972376739205,VID_21611
1.4419390529369953,VID_16242
1.609694176884788,VID_23409
1.701031785859008,VID_22950
1.4340179859118813,VID_15401
2.206200085951301,VID_7634
1.3660998303169631,VID_4283
1.5691436176981317,VID_20020
1.6831359106140245,VID_13334
1.5433933003543734,VID_17504
3.6955414351672853,VID_22854
3.8522811176846172,VID_4396
1.2625820364398501,VID_7426
1.8841490270708443,VID_1941
1.8620547361585742,VID_22447
2.0907529370333733,VID_13156
3.053683453643008,VID_6361
4.717836410847866,VID_1601
1.763365278581983,VID_5787
2.161073822125412,VID_15044
2.043296161091266,VID_18511
5.781383459036488,VID_17965
3.93627488020894,VID_20023
1.683361066240835,VID_20294
1.5851296671799828,VID_4284
7.521617941361053,VID_6333
4.787194606216061,VID_4459
2.457467083299371,VID_7896
2.2104683839597024,VID_14003
2.5994691872422075,VID_22518
1.6662771796614066,VID_12272
1.4298431088445043,VID_1002
1.1155662834040012,VID_2801
1.7521565312727667,VID_85
3.64146190381958,VID_17535
2.7148070716327335,VID_16710
5.857677663928797,VID_7899
5.231989581694458,VID_3336
8.746892839482529,VID_966
3.1845677837070756,VID_15920
1.896185938328567,VID_9048
2.3497054344971815,VID_9004
2.7842767686734304,VID_8038
5.271632136997358,VID_22273
3.526262872946524,VID_9597
2.3964985444382876,VID_405
2.1111394817244697,VID_6857
5.304050556636284,VID_745
2.4376741723697126,VID_22181
1.9464910565138476,VID_2452
6.1993540120491675,VID_16534
1.2051600450071833,VID_8504
2.388602979339592,VID_7421
1.6896209171203356,VID_19004
2.3060105620165277,VID_21560
1.508599616047435,VID_6904
5.802060075217812,VID_10068
3.2544264805446956,VID_3831
1.681971529389106,VID_523
3.8534404050187763,VID_21181
2.1694348158621306,VID_9556
3.0987901866673138,VID_18078
1.9528503108120119,VID_13326
2.947683452454311,VID_21883
1.4428488307274978,VID_18044
2.444325578499318,VID_11715
2.805564467450831,VID_7741
1.1982543638979377,VID_23167
1.5685630099186643,VID_4147
2.233794132465952,VID_12377
2.712253024457642,VID_16014
2.1404573803696136,VID_21928
2.0568454421577065,VID_22002
4.182507793786352,VID_19194
